,idx,data,sd,timestamp,fold
449,2434,28.42183713355049,0.00680770225733345,1622114268.889225,7
450,2444,28.3987157894737,0.004831177600575959,1622114278.9392314,7
451,1984,28.395371900826444,0.008271360757671507,1622114284.339289,7
452,1994,28.405808580858082,0.006491145959984477,1622114294.939195,7
453,1544,28.419564814814816,0.017634810454907508,1622114307.9140787,7
454,1554,28.430311418685122,0.0166128282777276,1622114320.5391212,7
455,1104,28.477768888888896,0.045854357952215444,1622114333.3891778,7
456,1114,28.611082508250824,0.09672199857100806,1622114354.1642525,7
457,1574,28.52341534988713,0.0629835618602719,1622114380.3893523,7
458,1584,28.76313407821229,0.1565374423256253,1622114395.939374,7
459,2034,28.850734042553192,0.09400850748417627,1622114405.1142235,7
460,2044,28.526247706422026,0.10596504148857416,1622114415.2642016,7
461,2034,28.447,0.0,1622114420.7389998,7
462,2044,28.447,0.0,1622114420.789,7
463,2034,28.425749999999997,0.01352081728299,1622114423.2143123,7
464,2035,28.46878125,0.011103868624830095,1622114427.2142344,7
465,2034,28.458406250000003,0.0008964992679867574,1622114430.4142344,7
466,2035,28.462,0.002000000000000668,1622114432.114,7
467,2034,28.465071428571434,0.0007985957062480636,1622114432.91425,7
468,2484,28.531612903225803,0.05457618375726461,1622114441.3642385,7
469,2474,28.49181818181819,0.008674080321363933,1622114451.8641999,7
470,2934,28.500560747663542,0.0055504105600332355,1622114457.2891963,7
471,2924,28.480509933774833,0.006899340163928533,1622114467.514205,7
472,2914,28.48696551724137,0.00018246560765920167,1622114475.7891722,7
473,3374,28.493708994708992,0.0035819910435335544,1622114481.2391214,7
474,3364,28.480654237288135,0.01702806578617399,1622114493.339156,7
475,3814,28.460535714285715,0.022699090829585777,1622114506.3141654,7
476,3804,28.473396491228065,0.004755863044973877,1622114519.0390491,7
477,4254,28.48440692640693,0.008570499315581974,1622114531.9391341,7
478,4244,28.500194244604316,0.004532659577625894,1622114544.6641188,7
479,4694,28.509624999999996,0.0031333222517533855,1622114557.6140873,7
480,4684,28.521067669172933,0.0068256432550669495,1622114570.2641203,7
481,5134,28.58102380952381,0.0426911135851279,1622114583.2140913,7
482,5124,28.664211764705883,0.02075350806215241,1622114595.8890784,7
483,5574,28.702101562499998,0.017757190376255602,1622114608.6640935,7
484,5564,28.712178861788622,0.028329372995430594,1622114621.2142155,7
485,6014,28.71486988847584,0.06841624315538558,1622114634.0891747,7
486,6004,28.756221276595742,0.028614123399900826,1622114646.689179,7
487,6454,28.656036630036635,0.025485443212735253,1622114659.389099,7
488,6444,28.66057641921397,0.020662384093700532,1622114671.9390304,7
489,6894,28.625773851590104,0.026523909242235095,1622114684.739074,7
490,6884,28.586680365296807,0.030256108147477704,1622114697.289064,7
491,7334,28.681371621621622,0.028534658964760064,1622114710.1641045,7
492,7324,28.73937113402062,0.01968715086098721,1622114722.4140723,7
493,7784,28.76721052631579,0.003396266485242767,1622114727.739,7
494,7774,28.795339999999996,0.04237716838109887,1622114735.7140832,7
495,7764,28.825908045977016,0.01271494024277002,1622114745.3890576,7
